"Student_Code","Semester","major_name","Major_ID","Campus_Code","term_name","Term_ID","Status"
"PF15051","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15051","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15055","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15055","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15055","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15064","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15064","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15064","3","Ứng dụng phần mềm","12","ph","Fall 2020","44","THO"
"PF15064","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15069","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15069","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15069","3","Ứng dụng phần mềm","12","ph","Fall 2020","44","THO"
"PF15069","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15070","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15070","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15070","3","Ứng dụng phần mềm","12","ph","Fall 2020","44","THO"
"PF15070","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15093","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15093","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15093","3","Ứng dụng phần mềm","12","ph","Fall 2020","44","THO"
"PF15093","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15098","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15098","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15098","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15102","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15102","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15102","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15142","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15142","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15142","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15149","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15149","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15149","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15158","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15158","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15158","3","Ứng dụng phần mềm","12","ph","Fall 2020","44","THO"
"PF15158","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PF15166","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","HDI"
"PF15166","2","Ứng dụng phần mềm","12","ph","Spring 2020","38","HDI"
"PF15166","3","Ứng dụng phần mềm","12","ph","Summer 2020","43","HDI"
"PH05679","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH05679","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH05679","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2019","30","HDI"
"PH06685","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06685","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06685","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06687","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06687","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06687","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06690","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06690","2","Thương mại điện tử","23","ph","Fall 2019","34","HDI"
"PH06690","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06690","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06690","3","Thương mại điện tử","23","ph","Spring 2020","38","HDI"
"PH06693","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06693","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06693","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06696","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06696","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06696","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06701","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06701","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06701","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06701","3","Thiết kế trang Web","3","ph","Spring 2019","30","THO"
"PH06709","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06709","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06709","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06709","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2019","30","TN1"
"PH06711","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06711","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06711","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06712","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06712","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06712","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06713","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06713","1","Lập trình máy tính","14","ph","Summer 2018","28","TN1"
"PH06713","2","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06713","3","Lập trình máy tính","14","ph","Spring 2019","30","HDI"
"PH06713","3","Lập trình máy tính","14","ph","Summer 2019","31","TN2"
"PH06716","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06716","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06716","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06716","3","Thiết kế trang Web","3","ph","Spring 2019","30","TN1"
"PH06716","3","Thiết kế trang Web","3","ph","Summer 2019","31","TN2"
"PH06717","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06717","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06717","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06722","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06722","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06722","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06723","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06723","2","Lập trình máy tính","14","ph","Fall 2018","29","TN2"
"PH06723","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06723","3","Lập trình máy tính","14","ph","Spring 2019","30","HDI"
"PH06725","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06725","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06725","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06727","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06727","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06727","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06728","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06728","2","Quản trị doanh nghiệp vừa và nhỏ","4","ph","Spring 2019","30","HDI"
"PH06728","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06728","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06728","3","Quản trị doanh nghiệp vừa và nhỏ","4","ph","Summer 2019","31","HDI"
"PH06729","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06729","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06729","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06730","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06730","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06730","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06736","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06736","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06736","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06737","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06737","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06737","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06738","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06738","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06738","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06741","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06741","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06741","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06742","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06742","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06742","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06744","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06744","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06744","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06748","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06748","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06748","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06754","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06754","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06754","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06755","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06755","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06755","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06758","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06758","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06758","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06759","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06759","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06759","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06760","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06760","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06760","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06761","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06761","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06761","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06762","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06762","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06762","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06767","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06767","2","Quản trị doanh nghiệp vừa và nhỏ","4","ph","Spring 2019","30","HDI"
"PH06767","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06767","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06767","3","Quản trị doanh nghiệp vừa và nhỏ","4","ph","Fall 2019","34","THO"
"PH06767","3","Quản trị doanh nghiệp vừa và nhỏ","4","ph","Summer 2019","31","HDI"
"PH06771","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06771","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06771","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06772","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06772","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06772","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06772","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2019","34","THO"
"PH06772","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2019","30","TN1"
"PH06772","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2019","31","TN2"
"PH06772","3","Quản trị khách sạn","21","ph","Summer 2020","43","HDI"
"PH06776","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06776","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06776","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06778","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06778","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06778","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06781","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06781","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06781","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06782","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06782","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06782","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06783","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06783","2","Thương mại điện tử","23","ph","Fall 2019","34","HDI"
"PH06783","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06783","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06783","3","Thương mại điện tử","23","ph","Spring 2020","38","HDI"
"PH06790","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06790","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06790","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06792","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06792","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06792","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06800","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06800","2","Thương mại điện tử","23","ph","Fall 2019","34","HDI"
"PH06800","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06800","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06800","3","Thương mại điện tử","23","ph","Spring 2020","38","HDI"
"PH06806","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06806","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06806","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06823","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06823","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06823","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06825","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06825","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06825","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06828","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06828","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06828","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06829","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06829","2","Thiết kế đồ họa","7","ph","Spring 2019","30","HDI"
"PH06829","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06829","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06829","3","Thiết kế đồ họa","7","ph","Summer 2019","31","HDI"
"PH06832","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06832","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06832","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06832","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2019","30","TN2"
"PH06832","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2019","31","THO"
"PH06835","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06835","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06835","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06840","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06840","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06840","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06842","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06842","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06842","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06847","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06847","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06847","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06848","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06848","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06848","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06850","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06850","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06850","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06854","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06854","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06854","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06854","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2019","30","TN1"
"PH06854","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2019","31","THO"
"PH06858","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06858","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06858","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06860","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06860","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06860","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06861","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06861","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06861","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06862","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06862","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06862","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06865","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06865","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06865","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06869","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06869","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06869","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06871","1","Lập trình máy tính","14","ph","Spring 2018","26","HDI"
"PH06871","2","Lập trình máy tính","14","ph","Summer 2018","28","HDI"
"PH06871","3","Lập trình máy tính","14","ph","Fall 2018","29","HDI"
"PH06876","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06876","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
"PH06876","3","Thiết kế trang Web","3","ph","Fall 2018","29","HDI"
"PH06879","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06879","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06879","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06881","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06881","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06881","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06883","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06883","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06883","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06889","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06889","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06889","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06890","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06890","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06890","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06891","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06891","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06891","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06897","1","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Spring 2018","26","HDI"
"PH06897","2","Thương mại điện tử","23","ph","Fall 2019","34","HDI"
"PH06897","2","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Summer 2018","28","HDI"
"PH06897","3","Công nghệ thông tin (ứng dụng phần mềm)","1","ph","Fall 2018","29","HDI"
"PH06897","3","Thương mại điện tử","23","ph","Spring 2020","38","HDI"
"PH06901","1","Thiết kế trang Web","3","ph","Spring 2018","26","HDI"
"PH06901","2","Thiết kế trang Web","3","ph","Summer 2018","28","HDI"
