"major","specialized_major","curriculum_id","period_name","subject_name","subject_code","num_of_credit"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Tiếng Anh 1.1","ENT1125","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 1","Nhập môn lập trình","COM108","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 2","Xây dựng trang Web","WEB1013","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 2","Tiếng Anh 1.2","ENT1225","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 2","Lập trình Java 1","MOB1013","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 2","Cơ sở dữ liệu","COM2012","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 2","Lập trình cơ sở với JavaScript","WEB1042","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 3","Marketing trên Internet","WEB2053","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 3","Tiếng Anh 2.1","ENT2125","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 3","Kỹ thuật trình bày nội dung Web","WEB2022","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 3","Thiết kế Web với HTML5&CSS3","WEB3023","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 3","Lập trình PHP 1","WEB2013","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 4","Dự án 1 (TKTW)","PRO1014","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 4","Tiếng Anh 2.2","ENT2224","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 4","Dự án mẫu (ngành Thiết kế Web)","WEB204","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 4","Quản trị website","WEB1022","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 5","Front-End Frameworks","WEB207","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 5","Chính trị","VIE1016","4"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 5","Kiểm thử cơ bản","SOF303","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 5","Lập trình JavaScript nâng cao","WEB206","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 5","Lập trình PHP 2","WEB3013","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 5","Pháp luật","VIE1026","2"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 6","Lập trình PHP 3","WEB4012","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 6","Khởi sự doanh nghiệp","SYB301","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 6","Xây dựng trang Web 2","WEB2033","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 6","Kỹ năng làm việc","SKI2015","3"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 7","Dự án tốt nghiệp (TKTW-PHP Framework)","PRO224","5"
"Thiết kế trang web","Thiết kế trang web(Back-End)","194","HK 7","Thực tập tốt nghiệp (TKTW)","PRO116","5"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Nhập môn lập trình","COM108","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Tin học","COM107","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Thiết kế hình ảnh với Photoshop","MUL1013","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Kỹ năng học tập","SKI1014","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Giáo dục quốc phòng","VIE104","4"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 1","Tiếng Anh 1.1","ENT1125","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 2","Tiếng Anh 1.2","ENT1225","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 2","Xây dựng trang Web","WEB1013","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 2","Lập trình Java 1","MOB1013","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 2","Cơ sở dữ liệu","COM2012","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 2","Lập trình cơ sở với JavaScript","WEB1042","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 3","Thiết kế giao diện trên Android","MOB202","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 3","Lập trình Java 2","MOB1023","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 3","Tiếng Anh 2.1","ENT2125","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 3","Lập trình Android cơ bản","MOB103","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 3","Thiết kế Web với HTML5&CSS3","WEB3023","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 4","Dự án 1 (LTMT)","PRO1121","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 4","Tiếng Anh 2.2","ENT2224","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 4","Dự án mẫu (ngành Mobile)","MOB204","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 4","Lập trình Android nâng cao","MOB201","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 5","Lập trình Mobile đa nền tảng","MOB306","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 5","Lập trình server cho Android","MOB402","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 5","Pháp luật","VIE1026","2"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 5","Lập trình C cho Arduino","IOT101","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 5","Chính trị","VIE1016","4"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 5","Thiết bị điện tử IOT cơ bản","IOT102","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 6","Lập trình IOT nâng cao","IOT202","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 6","Lập trình IOT cơ bản","IOT201","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 6","Khởi sự doanh nghiệp","SYB301","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 6","Kỹ năng làm việc","SKI2015","3"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 7","Dự án tốt nghiệp (LTMT-IoT)","PRO222","5"
"Lập trình máy tính","Lập trình máy tính(IOT)","198","HK 7","Thực tập tốt nghiệp (LTMT)","PRO118","5"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Nhập môn lập trình","COM108","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Giáo dục quốc phòng","VIE104","4"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Tin học","COM107","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Thiết kế hình ảnh với Photoshop","MUL1013","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Tiếng Anh 1.1","ENT1125","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 1","Kỹ năng học tập","SKI1014","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 2","Xây dựng trang Web","WEB1013","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 2","Cơ sở dữ liệu","COM2012","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 2","Lập trình C# 1","NET101","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 2","Lập trình cơ sở với JavaScript","WEB1042","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 2","Tiếng Anh 1.2","ENT1225","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 3","Kỹ thuật trình bày nội dung Web","WEB2022","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 3","Tiếng Anh 2.1","ENT2125","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 3","Thiết kế Web với HTML5&CSS3","WEB3023","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 3","Lập trình PHP 1","WEB2013","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 3","Marketing trên Internet","WEB2053","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 4","Quản trị website","WEB1022","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 4","Dự án 1 (TKTW)","PRO1014","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 4","Tiếng Anh 2.2","ENT2224","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 4","Dự án mẫu (ngành Thiết kế Web)","WEB204","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 5","Lập trình ECMAScript","WEB501","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 5","Lập trình JavaScript nâng cao","WEB206","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 5","Chính trị","VIE1016","4"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 5","NodeJS & Restful Web Service","WEB503","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 5","Lập trình TypeScript","WEB502","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 5","Pháp luật","VIE1026","2"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 6","Kỹ năng làm việc","SKI2015","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 6","Lập trình Front-End Framework 1","WEB208","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 6","Khởi sự doanh nghiệp","SYB301","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 6","Lập trình Front-End Framework 2","WEB209","3"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 7","Dự án tốt nghiệp (TKTW-Single page Application)","PRO220","5"
"Thiết kế trang web","Thiết kế trang web(Front-End)","200","HK 7","Thực tập tốt nghiệp (TKTW)","PRO116","5"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Nhập môn lập trình","COM108","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Tin học","COM107","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Giáo dục quốc phòng","VIE104","4"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Thiết kế hình ảnh với Photoshop","MUL1013","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Kỹ năng học tập","SKI1014","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 1","Tiếng Anh 1.1","ENT1125","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 2","Xây dựng trang Web","WEB1013","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 2","Cơ sở dữ liệu","COM2012","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 2","Lập trình Javascript","WEB104","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 2","Lập trình C# 1","NET101","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 2","Tiếng Anh 1.2","ENT1225","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 3","Quản trị cơ sở dữ liệu với SQL Server","COM2033","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 3","Lập trình C# 2","NET102","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 3","Lập trình C# 3","NET103","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 3","Quản lý dự án với phần mềm Agile","MOB104","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 3","Tiếng Anh 2.1","ENT2125","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 4","Tiếng Anh 2.2","ENT2224","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 4","Dự án mẫu (UDPM.NET)","SOF205","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 4","Dự án 1 (UDPM-.NET)","PRO131","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 4","Nhập môn kỹ thuật phần mềm","SOF102","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 5","Pháp luật","VIE1026","2"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 5","Kiểm thử cơ bản","SOF303","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 5","Chính trị","VIE1016","4"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 5","Front-End Frameworks","WEB207","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 5","Lập trình C# 4","NET104","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 5","Kiểm thử nâng cao","SOF304","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 6","Lập trình C# 5","NET105","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 6","Kỹ năng làm việc","SKI2015","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 6","Lập trình C#6","NET106","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 6","Khởi sự doanh nghiệp","SYB301","3"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 7","Thực tập tốt nghiệp (UDPM)","PRO115","5"
"Công nghệ thông tin (Ứng dụng phần mềm)","Ứng dụng phần mềm(Net)","201","HK 7","Dự án tốt nghiệp (UDPM-.NET Core)","PRO219","5"
"Công nghệ thông tin","Thiết kế trang Web","208","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Thiết kế trang Web","208","HK 4","Dự án 2 - Thiết kế trang Web","PRO201","2"
"Công nghệ thông tin","Thiết kế trang Web","208","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","210","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","210","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Thiết kế trang Web","212","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Thiết kế trang Web","212","HK 4","Dự án 2 - Thiết kế trang Web","PRO201","2"
"Công nghệ thông tin","Thiết kế trang Web","212","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Thiết kế trang Web","212","HK 6","Dự án tốt nghiệp - Thiết kế trang Web","PRO3012","4"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","213","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","213","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","213","HK 6","Dự án tốt nghiệp - Ứng dụng Công nghệ thông tin","PRO3022","4"
"Công nghệ thông tin","Thiết kế trang Web","218","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Thiết kế trang Web","218","HK 4","Dự án 2 - Thiết kế trang Web","PRO201","2"
"Công nghệ thông tin","Thiết kế trang Web","218","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","219","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","219","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","219","HK 6","Quản trị server 2","COM3032","3"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","219","HK 6","Dự án tốt nghiệp - Ứng dụng Công nghệ thông tin","PRO3022","4"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","219","HK 6","Quản trị server 1","COM2042","3"
"Công nghệ thông tin","Thiết kế trang Web","220","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Thiết kế trang Web","220","HK 4","Dự án 2 - Thiết kế trang Web","PRO201","2"
"Công nghệ thông tin","Thiết kế trang Web","220","HK 5","Kỹ năng làm việc","SKI201","2"
"Công nghệ thông tin","Thiết kế trang Web","220","HK 6","Dự án tốt nghiệp - Thiết kế trang Web","PRO3012","4"
"Công nghệ thông tin","Thiết kế trang Web","220","HK 6","Thiết kế Web với HTML5&CSS3","WEB3023","3"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","221","HK 1","Giáo dục thể chất - Vovinam","VIE103","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","221","HK 5","Kỹ năng làm việc","SKI2014","2"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","221","HK 6","Marketing trên Internet","WEB2052","3"
"Công nghệ thông tin","Công nghệ thông tin (Ứng dụng phần mềm)","221","HK 6","Dự án tốt nghiệp - Ứng dụng Công nghệ thông tin","PRO3022","4"
